word,2020,2021,2022,2023
зустріч,0,0,0,2
фортеця,0,0,0,2
згадати,0,0,0,1
думати,1,0,0,0
з’явитися,0,0,1,1
авто,0,1,0,1
шевченко,1,2,0,0
майдан,0,0,1,0
міжнародний,0,0,2,0
іти,1,0,0,1
іграшка,0,0,0,1
донбас,0,3,4,2
ітівець,1,0,0,0
туреччина,0,0,1,0
роман,0,0,1,0
сьомий,1,0,0,0
загарбник,0,0,0,1
легкий,1,1,0,0
нема,0,0,2,0
підприємство,0,0,0,1
київщина,0,0,0,1
квартирний,0,0,1,0
старатися,0,2,1,0
поранити,0,0,0,1
удар,0,0,0,3
сім’я,0,1,0,1
миколай,0,0,1,0
пробачити,0,0,0,1
єднатися,0,0,2,0
продовження,0,0,0,1
калина,0,0,1,0
уламок,0,0,0,1
оглушити,0,0,0,1
талановитий,0,1,0,0
ціль,0,0,2,0
лякати,0,0,8,0
важкий,0,3,0,0
слово,1,2,2,2
загал,0,0,1,0
суперводій,0,1,0,0
радіти,2,0,1,0
терпіти,0,0,1,0
паркан,1,0,0,0
лаяти,0,1,0,0
тиша,0,1,0,1
культура,0,0,1,0
патріотизм,1,0,0,0
дитинство,0,0,1,1
змагатися,1,0,0,0
італія,1,0,0,0
написати,1,1,0,0
хрещатик,0,0,1,0
швидкий,0,1,0,1
суперприкордонник,0,1,0,0
російський,0,1,0,1
витримати,0,1,0,1
хоробрість,0,1,0,0
запуститися,0,0,1,0
спортсмен,0,0,2,0
жадан,1,0,0,0
здоровий,1,2,1,0
траса,0,0,1,0
боротися,0,0,1,2
віталій,0,1,0,0
згодний,0,2,0,0
мелітополь,0,0,0,2
карпатський,0,0,1,0
тиждень,0,1,1,0
недолік,1,0,0,0
загиблий,0,1,0,0
конгрес,0,0,0,1
спати,0,0,1,0
леся,1,0,0,0
свято,1,0,2,0
генштаб,0,0,0,1
близький,0,0,1,0
варшава,0,0,0,1
дочекатися,0,0,0,2
мити,1,0,0,1
луганськ,0,1,0,0
адвокат,2,0,0,0
прекрасний,0,2,0,0
десять,0,0,1,0
епізодично,1,0,0,0
будівля,0,0,1,0
студент-філософ,1,0,0,0
вулиця,1,0,0,0
додому,1,0,2,0
вперше,0,1,6,0
континент,0,0,2,0
хвилина,0,1,2,3
відбудувати,0,1,0,1
надія,0,0,1,0
лідер,0,0,1,0
дивитися,2,1,1,0
об'єднати,1,0,0,0
твіттер,0,0,1,0
оленівка,0,0,0,1
скорик,0,1,0,0
хмельницький,1,0,0,1
добудувати,0,1,0,0
відважний,0,0,1,0
упевнений,0,0,1,0
куп’янськ,0,0,0,1
сковорода,1,0,0,0
пляж,0,2,0,0
нагадати,0,2,0,0
ілюзія,0,0,0,1
пошук,0,0,0,1
тепло,0,0,1,0
суперлікар,0,1,0,0
наробити,0,0,1,0
страшно,0,0,0,2
зростання,1,0,0,0
указка,0,0,0,1
квітучий,1,0,0,0
творити,0,0,1,1
одразу,0,0,1,0
супергерой,0,2,0,0
капітуляція,0,0,0,1
знищити,0,0,0,1
ватник,1,0,0,0
рядок,1,0,0,0
поклик,0,0,1,0
злочинець,0,1,0,0
свобода,0,0,1,0
